start_time,total_cycles,fps,fps_r,config.simulation.dataset,config.simulation.scene,config.hardware.udpe.skip_enabled,config.hardware.memory.read_latency_hiding_rate,config.hardware.wbs.scheduling_mode,config.hardware.wbs.window_size_k,config.algorithm.foveated_enabled,config.algorithm.early_stop_ratio,preprocess_cycles,sort_cycles,rasterize_cycles,module_utilization.fre
2026-03-18T01:25:20.863437,36268998.125,137.85878459525273,68.92939229762636,dynerf,coffee_martini,False,0.3,hilbert_fifo,4,False,0.5,13526208.0,12730468.125,33325321.5625,0.9164102608155515
2026-03-18T01:26:06.186019,43324021.671875,115.40941507851497,57.704707539257484,dynerf,cook_spinach,False,0.3,hilbert_fifo,4,False,0.5,13192608.0,6355800.625,38736947.03125,0.8911297321501439
2026-03-18T01:26:49.877025,50181333.40625,99.63864370685012,49.81932185342506,dynerf,cut_roasted_beef,False,0.3,hilbert_fifo,4,False,0.5,12448192.0,7240127.5,47472821.5625,0.9432519149088548
2026-03-18T01:27:55.672345,45430916.515625,110.05721177296425,55.028605886482126,dynerf,flame_salmon_1,False,0.3,hilbert_fifo,4,False,0.5,14366496.0,13027461.25,42270610.15625,0.9245544401793289
2026-03-18T01:28:43.802937,14755730.5,338.8514042053017,169.42570210265086,dynerf,flame_steak,False,0.3,hilbert_fifo,4,False,0.5,11560384.0,6323763.125,12242346.5625,0.8224669714971076
2026-03-18T01:29:25.859827,15659342.78125,319.2982023477283,159.64910117386415,dynerf,sear_steak,False,0.3,hilbert_fifo,4,False,0.5,12019744.0,7017135.625,13042745.78125,0.8327021423187163
2026-03-18T01:32:27.791812,35689249.6875,140.09821007111918,70.04910503555959,dynerf,coffee_martini,False,0.3,default_fifo,4,False,0.5,13526208.0,12642280.625,32745573.125,0.9151003030070356
2026-03-18T01:33:13.679158,42582986.203125,117.41778691023481,58.708893455117405,dynerf,cook_spinach,False,0.3,default_fifo,4,False,0.5,13192608.0,6333688.75,38434919.140625,0.902094694680688
2026-03-18T01:33:57.672525,53540552.09375,93.38715804134694,46.69357902067347,dynerf,cut_roasted_beef,False,0.3,default_fifo,4,False,0.5,12448192.0,7220065.0,50399794.53125,0.9380502989676924
2026-03-18T01:35:04.271078,52216863.578125,95.75450644443973,47.87725322221986,dynerf,flame_salmon_1,False,0.3,default_fifo,4,False,0.5,14366496.0,12903337.5,49093835.0,0.9399667708342937
2026-03-18T01:35:55.830339,14898360.34375,335.6074013941773,167.80370069708866,dynerf,flame_steak,False,0.3,default_fifo,4,False,0.5,11560384.0,6282707.5,12384915.15625,0.8264493613077568
2026-03-18T01:36:37.673676,19654560.859375,254.3938801672619,127.19694008363095,dynerf,sear_steak,False,0.3,default_fifo,4,False,0.5,12019744.0,6974271.875,17037924.484375,0.86327909164245
2026-03-18T01:48:05.464985,52991841.489583686,94.35414696775206,47.17707348387603,dynerf,coffee_martini,True,0.3,hilbert_window,4,True,0.5,8353600.0,12951868.125,51085888.552083686,0.9625237058135682
2026-03-18T01:48:55.364996,29792592.604166314,167.82695170009407,83.91347585004704,dynerf,cook_spinach,True,0.3,hilbert_window,4,True,0.5,7303040.0,6426338.125,28104015.994791314,0.9403492788819953
2026-03-18T01:49:37.584297,38348576.74999976,130.38293526760498,65.19146763380249,dynerf,cut_roasted_beef,True,0.3,hilbert_window,4,True,0.5,7472416.0,7349475.625,36621960.2708331,0.9547947404701482
2026-03-18T01:50:45.453335,30001799.04687485,166.65667256113517,83.32833628056758,dynerf,flame_salmon_1,True,0.3,hilbert_window,4,True,0.5,8446944.0,13164096.875,28062834.46874985,0.9351986370646342
2026-03-18T01:51:33.439051,15128389.15625007,330.5044541331304,165.2522270665652,dynerf,flame_steak,True,0.3,hilbert_window,4,True,0.5,6529888.0,6402683.75,13586777.67708341,0.8872108851264837
