start_time,total_cycles,fps,fps_r,config.simulation.dataset,config.simulation.scene,config.hardware.udpe.udpe_utilization,config.hardware.udpe.skip_enabled,config.hardware.memory.read_latency_hiding_rate,config.hardware.wbs.scheduling_mode,config.hardware.wbs.window_size_k,config.algorithm.foveated_enabled,config.algorithm.early_stop_ratio,preprocess_cycles,sort_cycles,rasterize_cycles,module_utilization.fre,cache_hit_ratio
2026-03-19T02:52:32.899039,47514672.04017855,105.23065371832904,52.61532685916452,hypernerf/interp,aleks-teapot,0.35,False,0.5,hilbert_window,4,False,0.7,43682554.28571428,1327911.4285714943,12283796.508928582,0.25606419478848236,0.1939097321620064
2026-03-19T02:52:48.190998,16603638.629464291,301.1388112920718,150.5694056460359,hypernerf/interp,cut-lemon1,0.35,False,0.5,hilbert_window,4,False,0.7,14472565.714285716,888961.3392857029,8358621.508928582,0.4926566640780916,0.26500851653260915
2026-03-19T02:53:17.298789,44371226.47321427,112.68563881186306,56.34281940593153,hypernerf/interp,hand1-dense-v2,0.35,False,0.5,hilbert_window,4,False,0.7,40095360.00000001,1567450.4464285923,14954828.071428534,0.326505627254684,0.209632960783405
2026-03-19T02:53:35.655546,18518242.60267857,270.00402291288566,135.00201145644283,hypernerf/interp,interp-chicken,0.35,False,0.5,hilbert_window,4,False,0.7,12832302.85714286,1605370.9821428675,15907906.776785713,0.8556706359282257,0.3559201312863994
2026-03-19T02:53:56.755863,18307267.678571425,273.11557834774425,136.55778917387212,hypernerf/interp,slice-banana,0.35,False,0.5,hilbert_window,4,False,0.7,14689337.142857146,1509905.089285701,15231866.794642853,0.8013351680571358,0.3206891658484495
2026-03-19T02:54:21.470914,31528446.276785683,158.58694577288725,79.29347288644362,hypernerf/interp,torchocolate,0.35,False,0.5,hilbert_window,4,False,0.7,27818845.714285716,1419782.5446428265,13594393.035714261,0.41976961540289537,0.2720838268932277
2026-03-19T02:55:00.465957,47529217.74553577,105.19844923114961,52.599224615574805,hypernerf/interp,aleks-teapot,0.35,False,0.5,hilbert_fifo,4,False,0.7,43682554.28571428,1322655.2678571492,12331918.62500007,0.2558463301536247,0.20251817325902505
2026-03-19T02:55:15.879278,16599150.575892864,301.22023275465415,150.61011637732707,hypernerf/interp,cut-lemon1,0.35,False,0.5,hilbert_fifo,4,False,0.7,14472565.714285716,887400.4017857225,8341318.517857144,0.49235422472856405,0.27345145266532866
2026-03-19T02:55:44.959119,44366488.58928573,112.69767247722805,56.34883623861403,hypernerf/interp,hand1-dense-v2,0.35,False,0.5,hilbert_fifo,4,False,0.7,40095360.00000001,1558403.0357142882,14963110.678571451,0.3265669082090793,0.21450680205261302
2026-03-19T02:56:04.415090,18505183.138392866,270.19456995410417,135.09728497705208,hypernerf/interp,interp-chicken,0.35,False,0.5,hilbert_fifo,4,False,0.7,12832302.85714286,1592908.3928571413,15894851.330357151,0.8558551397196228,0.36663977368644846
2026-03-19T02:56:23.863833,18301565.32142857,273.2006750343753,136.60033751718765,hypernerf/interp,slice-banana,0.35,False,0.5,hilbert_fifo,4,False,0.7,14689337.142857146,1505501.1160714217,15193204.46428573,0.8009121961736007,0.3321432513204951
2026-03-19T02:56:49.176343,31540677.473214302,158.52544715458995,79.26272357729498,hypernerf/interp,torchocolate,0.35,False,0.5,hilbert_fifo,4,False,0.7,27818845.714285716,1409600.491071431,13506705.151785722,0.4191820514832292,0.2861316158299976
2026-03-19T02:57:27.933804,47520431.68303572,105.2178993943135,52.60894969715675,hypernerf/interp,aleks-teapot,0.35,False,0.5,global_greedy,4,False,0.7,43682554.28571428,1302993.080357112,12158029.383928606,0.255460948509712,0.21805811594289098
2026-03-19T02:57:43.503835,16574750.236607147,301.66367086225847,150.83183543112924,hypernerf/interp,cut-lemon1,0.35,False,0.5,global_greedy,4,False,0.7,14472565.714285716,825229.2857142831,8141516.821428574,0.4900196943363054,0.3487032042614684
2026-03-19T02:58:12.653098,44387710.63392856,112.64379100863468,56.32189550431734,hypernerf/interp,hand1-dense-v2,0.35,False,0.5,global_greedy,4,False,0.7,40095360.00000001,1506734.196428596,14447583.339285681,0.3243118661561665,0.2721728904660971
2026-03-19T02:58:32.476809,18298516.799107157,273.2461901089145,136.62309505445725,hypernerf/interp,interp-chicken,0.35,False,0.5,global_greedy,4,False,0.7,12832302.85714286,1474100.3571428484,15663792.580357157,0.8559389615273111,0.4712637796774746
2026-03-19T02:58:52.131803,18192788.053571425,274.83418073561575,137.41709036780787,hypernerf/interp,slice-banana,0.35,False,0.5,global_greedy,4,False,0.7,14689337.142857146,1391246.9196428494,14492723.035714276,0.7955883392287821,0.4454440948606403
2026-03-19T02:59:17.554563,31484701.062500004,158.80728834218698,79.40364417109349,hypernerf/interp,torchocolate,0.35,False,0.5,global_greedy,4,False,0.7,27818845.714285716,1366352.2767857453,13204228.401785694,0.41881210738054553,0.3031611873008741
2026-03-19T02:59:56.619674,46929571.26339289,106.54263112563778,53.27131556281889,hypernerf/interp,aleks-teapot,0.35,False,0.7,default_fifo,4,False,0.7,43682554.28571428,834336.9642856829,12089148.357142894,0.2394840859423194,0.2814860000216921
2026-03-19T03:00:11.927222,16284260.272321433,307.0449573014111,153.52247865070555,hypernerf/interp,cut-lemon1,0.35,False,0.7,default_fifo,4,False,0.7,14472565.714285716,511962.5892857206,7686176.946428586,0.4644033646412984,0.375506524521313
